title,accession,start_date,end_date,related_data_url,related_data_citation,arc,xml,file_name,ptt_id
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 58009 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-06-06 to 2005-12-15 (NCEI Accession 0305244)",0305244,2005-06-07,2005-12-12,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305244/0305244.1.1.xml,atn_58009_ribbon-seal_trajectory_20050606-20051215.nc,58009
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 58010 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-06-07 to 2005-12-13 (NCEI Accession 0305246)",0305246,2005-06-08,2005-12-13,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305246/0305246.1.1.xml,atn_58010_ribbon-seal_trajectory_20050607-20051213.nc,58010
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 58011 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-06-02 to 2005-06-04 (NCEI Accession 0305247)",0305247,2005-06-03,2005-06-03,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305247/0305247.1.1.xml,atn_58011_ribbon-seal_trajectory_20050602-20050604.nc,58011
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 58012 deployed in the Bering Sea and North Pacific Ocean by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-06-07 to 2006-04-21 (NCEI Accession 0305248)",0305248,2005-06-07,2006-04-21,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305248/0305248.1.1.xml,atn_58012_ribbon-seal_trajectory_20050607-20060421.nc,58012
"Spotted seal (Phoca largha) location data from satellite telemetry tag ptt 58014 deployed in the Bering Sea and Chukchi Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-09-29 to 2006-03-29 (NCEI Accession 0305249)",0305249,2005-09-30,2006-03-30,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305249/0305249.1.1.xml,atn_58014_spotted-seal_trajectory_20050929-20060329.nc,58014
"Spotted seal (Phoca largha) location data from satellite telemetry tag ptt 62755 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2006-04-24 to 2006-05-06 (NCEI Accession 0305250)",0305250,2006-04-29,2008-03-11,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305250/0305250.1.1.xml,atn_62755_spotted-seal_trajectory_20060424-20060506.nc,62755
"Spotted seal (Phoca largha) location data from satellite telemetry tag ptt 62756 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2006-04-27 to 2006-05-13 (NCEI Accession 0305251)",0305251,2006-01-24,2008-03-11,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305251/0305251.1.1.xml,atn_62756_spotted-seal_trajectory_20060427-20060513.nc,62756
"Spotted seal (Phoca largha) location data from satellite telemetry tag ptt 64451 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2009-05-18 to 2009-06-12 (NCEI Accession 0305252)",0305252,2009-05-24,2009-06-18,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305252/0305252.1.1.xml,atn_64451_spotted-seal_trajectory_20090518-20090612.nc,64451
"Spotted seal (Phoca largha) location data from satellite telemetry tag ptt 64452 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2009-05-28 to 2009-06-12 (NCEI Accession 0305253)",0305253,2009-05-30,2009-06-12,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305253/0305253.1.1.xml,atn_64452_spotted-seal_trajectory_20090528-20090612.nc,64452
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 64453 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2009-06-06 to 2009-06-12 (NCEI Accession 0305254)",0305254,2009-06-06,2009-06-12,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305254/0305254.1.1.xml,atn_64453_ribbon-seal_trajectory_20090606-20090612.nc,64453
